タイトル名,原作者,監督,公開日および期間,都道府県,カテゴリ
銀の匙 Silver Spoon,荒川弘,伊藤智彦,2013年7月11日~9月19日,北海道,アニメ
借りぐらしのアリエッティ,メアリー・ノートン,米林宏昌,2010年7月17日,青森県,映画
KEY THE METAL IDOL,佐藤博暉,佐藤博暉,1994年12月16日~1997年6月18日,秋田県,アニメ
咲-Saki-,小林立,小野学,2009年4月5日~9月28日,岩手県,アニメ
ハイキュー！！,古舘春一,満仲勧,2014年4月~9月,宮城県,アニメ
おもひでぽろぽろ,岡本螢,高畑勲,1991年7月20日,山形県,映画
3月のライオン,羽海野チカ,新房昭之,2016年10月~2017年3月,福島県,アニメ
とある科学の超電磁砲,鎌池和馬,長井龍雪,2009年10月2日~2010年3月19日,茨城県,アニメ
頭文字D,しげの秀一,三沢伸,1998年-2006年,栃木県,アニメ
僕は友達が少ない,平坂読,斎藤久,2011年10月~12月,群馬県,アニメ
やはり俺の青春ラブコメはまちがっている,渡航,吉村愛,2013年4月~6月,千葉県,アニメ
あの日見た花の名前を僕達はまだ知らない。,岡田磨里,長井龍雪,2011年4月~6月,埼玉県,アニメ
化物語,西尾維新,新房昭之,2009年7月3日~9月25日,東京都,アニメ
文豪ストレイドッグス,朝霧カフカ,五十嵐卓哉,2016年4月~6月,神奈川県,アニメ
魔法少女育成計画,遠藤浅蜊,橋本裕之,2016年10月~12月,新潟県,アニメ
クロムクロ,Snow Grouse,岡村天斎,2016年4月~9月,富山県,アニメ
花咲くいろは,P.A.WORKS,安藤真裕,2011年4月3日~9月25日,石川県,アニメ
ちはやふる,末次由紀,浅香守生,2011年10月4日~2012年3月27日,福井県,アニメ
君の名は。,新海誠,新海誠,2016年8月26日,長野県,映画
ひぐらしのなく頃に,及川中,及川中,2008年5月10日,岐阜県,映画
ゆるキャン△,あfろ,神保昌登,2018年1月~3月,山梨県,アニメ
ちびまる子ちゃん,さくらももこ,高木淳,1995年1月8日,静岡県,アニメ
終わりのセラフ,鏡貫也,徳土大介,2015年10月~12月,愛知県,アニメ
若おかみは小学生！,令丈ヒロ子,増原光幸,2018年4月8日~9月23日,三重県,アニメ
のんのんびより,あっと,川面真也,2013年10月~12月,和歌山県,アニメ
けいおん！,かきふらい,山田尚子,2009年4月2日~6月25日,滋賀県,アニメ
りゅうおうのおしごと！,白鳥士郎,柳伸亮,2018年1月~3月,大阪府,アニメ
有頂天家族,森見登美彦,吉原正行,2013年7月~9月,京都府,アニメ
境界の彼方,鳥居なごむ,石立太一,2013年10月~12月,奈良県,アニメ
涼宮ハルヒの憂鬱,谷川流,石原立也,2006年4月~6月,兵庫県,アニメ
Free!,おおじこうじ,内海紘子,2013年7月~9月,鳥取県,アニメ
秘密結社鷹の爪,FROGMAN,FROGMAN,2006年4月5日~6月14日,島根県,アニメ
天地無用！,梶島正樹,ねぎしひろし,1995年4月2日~9月24日,岡山県,アニメ
崖の上のポニョ,宮崎駿,宮崎駿,2008年7月19日,広島県,映画
るろうに剣心 -明治剣客浪漫譚-,和月伸宏,古橋一浩,1996年1月10日~1998年9月8日,山口県,アニメ
平成狸合戦ぽんぽこ,高畑勲,高畑勲,1994年7月16日,徳島県,映画
からかい上手の高木さん,山本崇一郎,赤城博昭,2018年1月~3月,香川県,アニメ
千と千尋の神隠し,宮崎駿,宮崎駿,2001年7月20日,愛媛県,映画
政宗くんのリベンジ,竹岡葉月,湊未來,2017年1月~3月,高知県,アニメ
そらのおとしもの,水無月すう,斎藤久,2009年10月~12月,福岡県,アニメ
ゾンビランドサガ,広報広聴課ゾンビ係,境宗久,2018年10月~12月,佐賀県,アニメ
色づく世界の明日から,ヤシオ・ナツカ,篠原俊哉,2018年10月~12月,長崎県,アニメ
ReLIFE,夜宵草,小坂知,2016年7月~9月,大分県,アニメ
夏目友人帳,緑川ゆき,大森貴弘,2008年7月7日~9月29日,熊本県,アニメ
艦隊これくしょん -艦これ-,DMM.com,草川啓造,2015年1月~3月,宮崎県,アニメ
秒速5センチメートル,新海誠,新海誠,2007年3月3日,鹿児島県,映画
はるかなレシーブ,如意自在,窪岡俊之,2018年7月~9月,沖縄県,アニメ
